time,coh_imag,coh_real,trans_pop0,trans_pop1,cis_pop0,cis_pop1
0.00000000000000000000,0.00000000000000000000,0.99999999993721278013,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.99999999993721622182
0.00006047210635000000,0.00954951968145903440,0.99975776238031188736,0.00000000000000114015,0.00000000000000235065,0.00015195002078031625,0.99984804997926080006
0.00012094421270000000,0.01911503688124523148,0.99903420343976812035,0.00000000000000114049,0.00000000000000235084,0.00060082348723577257,0.99939917651284959632
0.00018141631905000001,0.02871144176088341951,0.99783858985288009791,0.00000000000000114106,0.00000000000000235115,0.00132599611054973546,0.99867400388956373281
0.00024188842540000000,0.03835142799372168870,0.99618598342378794630,0.00000000000000114188,0.00000000000000235170,0.00229417345330286447,0.99770582654683181989
0.00030236053174999999,0.04804451637082298582,0.99409670456109366921,0.00000000000000114302,0.00000000000000235264,0.00346098482804793736,0.99653901517211795902
0.00036283263810000003,0.05779620595701651792,0.99159554630863355751,0.00000000000000114451,0.00000000000000235410,0.00477310129441338091,0.99522689870577496496
0.00042330474445000002,0.06760729389018407809,0.98871086271850605609,0.00000000000000114641,0.00000000000000235622,0.00617076789917542050,0.99382923210104456846
0.00048377685080000000,0.07747339194508313931,0.98547352491861595070,0.00000000000000114874,0.00000000000000235913,0.00759062844709740888,0.99240937155316188978
0.00054424895714999999,0.08738466075930514942,0.98191579414513197044,0.00000000000000115153,0.00000000000000236288,0.00896870356395565969,0.99103129643633924850
0.00060472106349999998,0.09732577353017703159,0.97807015734834046317,0.00000000000000115479,0.00000000000000236750,0.01024337608079069900,0.98975662391954022379
0.00066519316984999996,0.10727611160719341399,0.97396817241748279148,0.00000000000000115851,0.00000000000000237295,0.01135823872811372696,0.98864176127225078528
0.00072566527620000006,0.11721018491448635668,0.96963936962902075312,0.00000000000000116267,0.00000000000000237912,0.01226466746752083968,0.98773533253288081646
0.00078613738255000004,0.12709826093636003574,0.96511025357353530385,0.00000000000000116724,0.00000000000000238583,0.01292399897952825616,0.98707600102090886640
0.00084660948890000003,0.13690717745479633050,0.96040344567104551921,0.00000000000000117219,0.00000000000000239284,0.01330921198344982466,0.98669078801703891113
0.00090708159525000002,0.14660130669570051176,0.95553700160079357850,0.00000000000000117748,0.00000000000000239989,0.01340603799472793109,0.98659396200578919345
0.00096755370160000000,0.15614363232200950682,0.95052393079189845260,0.00000000000000118309,0.00000000000000240665,0.01321345639896442242,0.98678654360159523407
0.00102802580794999999,0.16549689607022707860,0.94537193683854681137,0.00000000000000118901,0.00000000000000241280,0.01274355975964261770,0.98725644024094394435
0.00108849791429999998,0.17462476794628811749,0.94008338865107610172,0.00000000000000119522,0.00000000000000241801,0.01202080643573318758,0.98797919356490437881
0.00114897002064999997,0.18349299289572029714,0.93465552270715845928,0.00000000000000120174,0.00000000000000242200,0.01108070725277375199,0.98891929274790169035
0.00120944212699999995,0.19207046779437594863,0.92908086731330041808,0.00000000000000120861,0.00000000000000242450,0.00996801964964362866,0.99003198035106920738
0.00126991423334999994,0.20033020542433019329,0.92334787070831292333,0.00000000000000121587,0.00000000000000242532,0.00873454510992451201,0.99126545489082251716
0.00133038633969999993,0.20825014671301780855,0.91744170652459189341,0.00000000000000122358,0.00000000000000242431,0.00743664273410250300,0.99256335726668165620
0.00139085844604999991,0.21581378875823045704,0.91134522292991093639,0.00000000000000123180,0.00000000000000242141,0.00613258276623479884,0.99386741723458649211
0.00145133055240000012,0.22301060384911805534,0.90503999603760854065,0.00000000000000124059,0.00000000000000241668,0.00487986830937187869,0.99512013169148594294
0.00151180265875000010,0.22983623365027255891,0.89850744431422679970,0.00000000000000124999,0.00000000000000241027,0.00373265115266600963,0.99626734884823087146
0.00157227476510000009,0.23629245286327865694,0.89172995931952125925,0.00000000000000126000,0.00000000000000240263,0.00273935847677199938,0.99726064152416149522
0.00163274687145000008,0.24238690763474271539,0.88469201026120192211,0.00000000000000127051,0.00000000000000239469,0.00194063092310374843,0.99805936907787251577
0.00169321897780000006,0.24813264114125824222,0.87738118511358398344,0.00000000000000128103,0.00000000000000238818,0.00136765019541634216,0.99863234980558512888
0.00175369108415000005,0.25354739610240295544,0.86978911889249932443,0.00000000000000128986,0.00000000000000238458,0.00104092534189502992,0.99895907465914490775
0.00181416319050000004,0.25865261656454702210,0.86191217593673674635,0.00000000000000129349,0.00000000000000238117,0.00096968160075933270,0.99903031840032197053
0.00187463529685000002,0.26347226751991936755,0.85375182661202453360,0.00000000000000129225,0.00000000000000237540,0.00115199185649942954,0.99884800814463381435
0.00193510740320000001,0.26803189715502040436,0.84531501864183455908,0.00000000000000129116,0.00000000000000236960,0.00157524037204567562,0.99842475962911958476
0.00199557950955000021,0.27235768868482906901,0.83661440477024640039,0.00000000000000129227,0.00000000000000236409,0.00221670104710161402,0.99778329895409401118
0.00205605161589999998,0.27647528686505695728,0.82766821204342810869,0.00000000000000129526,0.00000000000000235826,0.00304467811302075626,0.99695532188821478492
0.00211652372225000019,0.28040864086184125181,0.81849987515991773357,0.00000000000000129947,0.00000000000000235203,0.00402016585636138027,0.99597983414492674559
0.00217699582859999996,0.28417896355003663400,0.80913746927934449005,0.00000000000000130429,0.00000000000000234566,0.00509878903636168043,0.99490121096496542119
0.00223746793495000016,0.28780383292411981788,0.79961295198068571555,0.00000000000000130928,0.00000000000000233951,0.00623290026846736681,0.99376709973289412137
0.00229794004129999993,0.29129646395453689944,0.78996124268549516856,0.00000000000000131408,0.00000000000000233394,0.00737374301773954278,0.99262625698364892468
