time,sigma_0_0_real,sigma_0_0_imag,sigma_0_1_real,sigma_0_1_imag,sigma_0_2_real,sigma_0_2_imag,sigma_1_0_real,sigma_1_0_imag,sigma_1_1_real,sigma_1_1_imag,sigma_1_2_real,sigma_1_2_imag,sigma_2_0_real,sigma_2_0_imag,sigma_2_1_real,sigma_2_1_imag,sigma_2_2_real,sigma_2_2_imag
0.00000000000000000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
0.00241888425399999990,0.99790622581770405120,0.00000000000000000000,0.00196673523810039991,0.04542623599759979675,-0.00093111623662630000,0.00459408446602019988,0.00196673523810039991,-0.04542623599759960246,0.00207175427605239999,0.00000000000000000000,0.00020729700819140001,0.00005144063491250000,-0.00093111623662630000,-0.00459408446602019988,0.00020729700819140001,-0.00005144063491250000,0.00002201990145330000,0.00000000000000000000
0.00483776850799999981,0.99166140891161858040,0.00000000000000000000,0.00782352448427330038,0.09003023268653319311,-0.00369353148118119982,0.00941344200060239937,0.00782352448427349988,-0.09003023268653420619,0.00823547370196810007,0.00000000000000000000,0.00082549773001349997,0.00040959943140609999,-0.00369353148118119982,-0.00941344200060239937,0.00082549773001349997,-0.00040959943140609999,0.00010311737985160000,0.00000000000000000000
0.00725665276200000015,0.98137424936988615354,0.00000000000000000000,0.01744108450516250117,0.13300835952741330015,-0.00819518591608859974,0.01467712670525989950,0.01744108450516269893,-0.13300835952741291157,0.01833780125079230092,0.00000000000000000000,0.00184363470799150009,0.00137161351717280007,-0.00819518591608850086,-0.01467712670525989950,0.00184363470799150009,-0.00137161351717280007,0.00028794937294660000,-0.00000000000000000000
0.00967553701599999962,0.96722318270530405204,0.00000000000000000000,0.03060732945850720005,0.17359410115318821277,-0.01428501302832510013,0.02059139871696610141,0.03060732945850720005,-0.17359410115318840706,0.03212741936820780186,-0.00000000000000000000,0.00324374257866140003,0.00321564811127429987,-0.01428501302832510013,-0.02059139871696590018,0.00324374257866140003,-0.00321564811127429987,0.00064939792492089998,0.00000000000000000000
0.01209442127000000082,0.94945234042862103330,-0.00000000000000000000,0.04703238231336680231,0.21107540193219220814,-0.02175702745650559891,0.02734441364823129994,0.04703238231336689945,-0.21107540193219059832,0.04926136916015470130,0.00000000000000000000,0.00500145093213230033,0.00619204349468269969,-0.02175702745650540115,-0.02734441364823159831,0.00500145093213230033,-0.00619204349468269969,0.00128629041680150004,0.00000000000000000000
0.01451330552400000029,0.92836603126360961458,-0.00000000000000000000,0.06635538884346380006,0.24481075676213540082,-0.03035567374489570036,0.03510100331025389764,0.06635538884346339761,-0.24481075676213651104,0.06931366685812889727,0.00000000000000000000,0.00708681684746400014,0.01051522717493929941,-0.03035567374489559975,-0.03510100331025370335,0.00708681684746390039,-0.01051522717493920053,0.00232030188936599999,0.00000000000000000000
0.01693218977800000150,0.90432187809667363698,0.00000000000000000000,0.08815299874523040147,0.27424359796117220300,-0.03978229528165259932,0.04399771316507670310,0.08815299874522940227,-0.27424359796117198096,0.09178601081157319874,0.00000000000000000000,0.00946528259879319926,0.01635653320273339900,-0.03978229528165250217,-0.04399771316507630065,0.00946528259879299977,-0.01635653320273300002,0.00389211110819410013,0.00000000000000000000
0.01935107403199999923,0.87772277561927980472,0.00000000000000000000,0.11194930635105600214,0.29891464011899560038,-0.04970281198496639963,0.05413870222266369686,0.11194930635105640460,-0.29891464011899532283,0.11612031197718100661,0.00000000000000000000,0.01209880851773969916,0.02383817081182009953,-0.04970281198496660086,-0.05413870222266369686,0.01209880851773979978,-0.02383817081181980116,0.00615691242506460033,0.00000000000000000000
0.02176995828600000044,0.84900786153401375245,0.00000000000000000000,0.13722700775431459497,0.31847188321713687520,-0.05975632604245650209,0.06559242886095950631,0.13722700775431551090,-0.31847188321713498782,0.14171273612668150443,0.00000000000000000000,0.01494713250298029990,0.03302849487560680086,-0.05975632604245619678,-0.06559242886095929814,0.01494713250298040051,-0.03302849487560669678,0.00927940236549549928,0.00000000000000000000
0.02418884254000000164,0.81864271848493541661,-0.00000000000000000000,0.16343950462099110510,0.33267803574132487343,-0.06956444228645100591,0.07838920294622429841,0.16343950462099399168,-0.33267803574132581712,0.16792890825426448620,-0.00000000000000000000,0.01796912018474980041,0.04393870791858989905,-0.06956444228644970140,-0.07838920294622439555,0.01796912018474980041,-0.04393870791858949659,0.01342837329190700070,0.00000000000000000000
0.02660772679399999938,0.78710904211681231857,-0.00000000000000000000,0.19002366232353148923,0.34141518261775249954,-0.07874107200642879723,0.09251966364805350174,0.19002366232353240516,-0.34141518261775172238,0.19411990059118469643,-0.00000000000000000000,0.02112416691033629917,0.05652108725091779806,-0.07874107200642929683,-0.09251966364805450094,0.02112416691033600080,-0.05652108725091759683,0.01877105732662130017,0.00000000000000000000
0.02902661104800000058,0.75489402315898490592,-0.00000000000000000000,0.21641291455325259441,0.34468659017584740711,-0.08690247690808590442,0.10793421991131260662,0.21641291455325259441,-0.34468659017585068227,0.21963860593488129802,-0.00000000000000000000,0.02437361089057159952,0.07066879221354320506,-0.08690247690808619585,-0.10793421991131349480,0.02437361089057159952,-0.07066879221354249729,0.02546737094247340100,-0.00000000000000000000
