j,omega_j/au,Sj_11,Sj_21,Sj_12,Sj_22,Sj_13,Sj_23
1.0,3.812894210330168e-07,0.0,7227.359909612464,5110.515202162767,6725.816250365071,0.0,0.0
2.0,1.153576043765318e-06,0.0,2388.846310069518,1689.1694250626183,2223.0719837988145,0.0,0.0
3.0,1.939178607242652e-06,0.0,1421.0737810540143,1004.8509071497007,1322.458165791459,0.0,0.0
4.0,2.7385643727974157e-06,0.0,1006.2629540157338,711.5353584413325,936.4331945414746,0.0,0.0
5.0,3.5522256362115663e-06,0.0,775.7716310139388,548.5533809421044,721.9368493751325,0.0,0.0
6.0,4.380681548646034e-06,0.0,629.0609908371678,444.81329240089,585.4072147446497,0.0,0.0
7.0,5.2244801062023165e-06,0.0,527.4622200708326,372.9721126317968,490.8589049906978,0.0,0.0
8.0,6.084200327210563e-06,0.0,452.92983914564695,320.26976066161916,421.49870914127143,0.0,0.0
9.0,6.960454638909178e-06,0.0,395.9103274847634,279.95087730626295,368.43607452602436,0.0,0.0
10.0,7.85389149815563e-06,0.0,350.8726694506172,248.10444390155743,326.5238111168692,0.0,0.0
11.0,8.765198274258262e-06,0.0,314.392873875585,222.30933307415313,292.57553609569294,0.0,0.0
12.0,9.69510442603298e-06,0.0,284.2378745435494,200.98652855979495,264.51314719108007,0.0,0.0
13.0,1.0644385009871698e-05,0.0,258.88915827243164,183.06227939011382,240.92350865717742,0.0,0.0
14.0,1.1613864561089877e-05,0.0,237.27811367508914,167.78096320680802,220.8121655446183,0.0,0.0
15.0,1.2604421397254281e-05,0.0,218.63089059634834,154.5953853175321,203.4589691387813,0.0,0.0
16.0,1.3616992399770344e-05,0.0,202.3733137708037,143.09954249852822,188.32958914770376,0.0,0.0
17.0,1.4652578338964661e-05,0.0,188.0703731305278,132.98583618088048,175.01920308841412,0.0,0.0
18.0,1.5712249818521597e-05,0.0,175.3864600781064,124.01695524953276,163.21549196940225,0.0,0.0
19.0,1.6797153927780568e-05,0.0,164.05849987334668,116.00687777173579,152.6736371591376,0.0,0.0
20.0,1.7908521705516876e-05,0.0,153.8773507298735,108.8077181721143,143.1990102949783,0.0,0.0
21.0,1.9047676536970013e-05,0.0,144.67464680979592,102.30042382497541,134.63492931007613,0.0,0.0
22.0,2.0216043627747222e-05,0.0,136.3133126479336,96.38806773935583,126.85383111047071,0.0,0.0
23.0,2.1415160724699145e-05,0.0,128.68060674207652,90.99092963452168,119.7507979063828,0.0,0.0
24.0,2.264669028605897e-05,0.0,121.68294089444754,86.04283266118571,113.23873606620647,0.0,0.0
25.0,2.3912433342489866e-05,0.0,115.24196789444916,81.48837697544741,107.24473529506255,0.0,0.0
26.0,2.5214345339037924e-05,0.0,109.29158931074274,77.28082392828138,101.70728407156828,0.0,0.0
27.0,2.655455430772503e-05,0.0,103.77564027620313,73.38045896127905,96.57411509746619,0.0,0.0
28.0,2.793538179474286e-05,0.0,98.64607886089351,69.75331130000075,91.8005203193164,0.0,0.0
29.0,2.9359367059005835e-05,0.0,93.86155600681015,66.37014274513638,87.34802010282138,0.0,0.0
30.0,3.082929517558081e-05,0.0,89.3862756134663,63.20564163129175,83.18330242293125,0.0,0.0
31.0,3.2348229825430804e-05,0.0,85.18907805480428,60.237774775582224,79.27736998022891,0.0,0.0
32.0,3.391955174166697e-05,0.0,81.24269732457095,57.44726220009031,75.60484889680689,0.0,0.0
33.0,3.554700402523579e-05,0.0,77.52315423198577,54.81714805640774,72.14342402120745,0.0,0.0
34.0,3.723474585768702e-05,0.0,74.00925700059432,52.33244749569821,68.87337418328916,0.0,0.0
35.0,3.898741655031687e-05,0.0,70.68218721229879,49.97985388691355,65.77718687172954,0.0,0.0
36.0,4.0810212412494804e-05,0.0,67.52515394136148,47.74749425260224,62.839236369448294,0.0,0.0
37.0,4.2708979646871116e-05,0.0,64.52310259618338,45.6247233889566,60.04551280035155,0.0,0.0
38.0,4.469032745649441e-05,0.0,61.66246775023153,43.60194909088551,57.38339211259197,0.0,0.0
39.0,4.676176688206346e-05,0.0,58.93096132324269,41.67048237350707,54.84143895896755,0.0,0.0
40.0,4.893188272935079e-05,0.0,56.31738902783753,39.822407680304785,52.409235881248875,0.0,0.0
41.0,5.121054852653813e-05,0.0,53.81148913305072,38.05046887172638,50.077233262736826,0.0,0.0
42.0,5.360919811898438e-05,0.0,51.403788383797966,36.34796734486182,47.83661524621845,0.0,0.0
43.0,5.6141172809983374e-05,0.0,49.08547038838017,34.7086689693551,45.67917725473881,0.0,0.0
44.0,5.8822170757031074e-05,0.0,46.84825194425487,33.12671663651848,43.59721089976297,0.0,0.0
45.0,6.167083704386269e-05,0.0,44.68426257249275,31.59654507732987,41.583391875355844,0.0,0.0
46.0,6.470955082173747e-05,0.0,42.58592186993921,30.11279413731452,39.630665821507804,0.0,0.0
47.0,6.796549418828969e-05,0.0,40.54580796395029,28.670215759996776,37.73212590747275,0.0,0.0
48.0,7.147213320747195e-05,0.0,38.556507996396014,27.263568263124967,35.880873691455086,0.0,0.0
49.0,7.527131782181073e-05,0.0,36.61043748505852,25.887488607891054,34.06985101744911,0.0,0.0
50.0,7.941633954177865e-05,0.0,34.699608310247925,24.536328340693387,32.29162410245631,0.0,0.0
51.0,8.397652422443979e-05,0.0,32.81531238621297,23.203929915046103,30.53808915956311,0.0,0.0
52.0,8.904438903308967e-05,0.0,30.94766447899738,21.88330341498509,28.800046942016408,0.0,0.0
53.0,9.474729993926721e-05,0.0,29.084901388216657,20.56613100175003,27.066550558379824,0.0,0.0
54.0,0.00010126752100931093,0.0,27.212237922561584,19.241957966305026,25.323840837778235,0.0,0.0
55.0,0.00010887914323980389,0.0,25.309860029518877,17.89677365775515,23.553478726664277,0.0,0.0
56.0,0.0001180224666710625,0.0,23.349078808984398,16.510291960291987,21.728766195198748,0.0,0.0
57.0,0.00012947331202455147,0.0,21.2840455877951,15.050092966213533,19.807036245352723,0.0,0.0
58.0,0.00014480427242204004,0.0,19.03062547423799,13.456684323055141,17.709992538078072,0.0,0.0
59.0,0.0001680794391538353,0.0,16.395318126991096,11.59324062730613,15.25756271550265,0.0,0.0
60.0,0.00021813641163660811,0.0,12.632993523906043,8.932875387439703,11.75632515835232,0.0,0.0
