j,omega_j/au,Sj_11,Sj_21,Sj_12,Sj_22,Sj_13,Sj_23
1.0,3.812894210330168e-07,0.0,2168.2079728837393,1533.15456064883,2017.744875109521,0.0,0.0
2.0,1.153576043765318e-06,0.0,716.6538930208554,506.75082751878546,666.9215951396443,0.0,0.0
3.0,1.939178607242652e-06,0.0,426.3221343162043,301.4552721449102,396.73744973743766,0.0,0.0
4.0,2.7385643727974157e-06,0.0,301.8788862047202,213.46060753239973,280.92995836244233,0.0,0.0
5.0,3.5522256362115663e-06,0.0,232.73148930418165,164.5660142826313,216.58105481253972,0.0,0.0
6.0,4.380681548646034e-06,0.0,188.71829725115035,133.443987720267,175.6221644233949,0.0,0.0
7.0,5.2244801062023165e-06,0.0,158.23866602124977,111.89163378953904,147.25767149720932,0.0,0.0
8.0,6.084200327210563e-06,0.0,135.8789517436941,96.08092819848575,126.44961274238142,0.0,0.0
9.0,6.960454638909178e-06,0.0,118.77309824542903,83.98526319187889,110.5308223578073,0.0,0.0
10.0,7.85389149815563e-06,0.0,105.26180083518517,74.43133317046723,97.95714333506075,0.0,0.0
11.0,8.765198274258262e-06,0.0,94.31786216267551,66.69279992224594,87.77266082870787,0.0,0.0
12.0,9.69510442603298e-06,0.0,85.27136236306484,60.295958567938484,79.35394415732401,0.0,0.0
13.0,1.0644385009871698e-05,0.0,77.6667474817295,54.91868381703414,72.27705259715322,0.0,0.0
14.0,1.1613864561089877e-05,0.0,71.18343410252675,50.33428896204241,66.24364966338548,0.0,0.0
15.0,1.2604421397254281e-05,0.0,65.5892671789045,46.37861559525963,61.037690741634385,0.0,0.0
16.0,1.3616992399770344e-05,0.0,60.71199413124111,42.92986274955847,56.498876744311126,0.0,0.0
17.0,1.4652578338964661e-05,0.0,56.421111939158344,39.89575085426414,52.50576092652423,0.0,0.0
18.0,1.5712249818521597e-05,0.0,52.61593802343193,37.20508657485983,48.96464759082067,0.0,0.0
19.0,1.6797153927780568e-05,0.0,49.21754996200401,34.802063331520735,45.80209114774128,0.0,0.0
20.0,1.7908521705516876e-05,0.0,46.163205218962055,32.64231545163429,42.95970308849349,0.0,0.0
21.0,1.9047676536970013e-05,0.0,43.402394042938774,30.69012714749262,40.39047879302284,0.0,0.0
22.0,2.0216043627747222e-05,0.0,40.89399379438009,28.91642032180675,38.05614933314121,0.0,0.0
23.0,2.1415160724699145e-05,0.0,38.60418202262296,27.297278890356502,35.92523937191484,0.0,0.0
24.0,2.264669028605897e-05,0.0,36.50488226833426,25.812849798355714,33.97162081986194,0.0,0.0
25.0,2.3912433342489866e-05,0.0,34.57259036833475,24.446513092634223,32.173420588518766,0.0,0.0
26.0,2.5214345339037924e-05,0.0,32.78747679322282,23.184247178484416,30.51218522147048,0.0,0.0
27.0,2.655455430772503e-05,0.0,31.13269208286094,22.014137688383713,28.972234529239856,0.0,0.0
28.0,2.793538179474286e-05,0.0,29.593823658268054,20.925993390000222,27.54015609579492,0.0,0.0
29.0,2.9359367059005835e-05,0.0,28.158466802043044,19.911042823540914,26.204406030846414,0.0,0.0
30.0,3.082929517558081e-05,0.0,26.81588268403989,18.961692489387524,24.954990726879373,0.0,0.0
31.0,3.2348229825430804e-05,0.0,25.55672341644129,18.071332432674666,23.78321099406867,0.0,0.0
32.0,3.391955174166697e-05,0.0,24.37280919737129,17.23417866002709,22.68145466904206,0.0,0.0
33.0,3.554700402523579e-05,0.0,23.256946269595733,16.44514441692232,21.643027206362234,0.0,0.0
34.0,3.723474585768702e-05,0.0,22.202777100178295,15.699734248709461,20.662012254986745,0.0,0.0
35.0,3.898741655031687e-05,0.0,21.204656163689638,14.993956166074064,19.73315606151886,0.0,0.0
36.0,4.0810212412494804e-05,0.0,20.257546182408447,14.32424827578067,18.851770910834485,0.0,0.0
37.0,4.2708979646871116e-05,0.0,19.356930778855016,13.68741701668698,18.013653840105466,0.0,0.0
38.0,4.469032745649441e-05,0.0,18.49874032506946,13.080584727265652,17.215017633777588,0.0,0.0
39.0,4.676176688206346e-05,0.0,17.679288396972808,12.50114471205212,16.452431687690265,0.0,0.0
40.0,4.893188272935079e-05,0.0,16.89521670835126,11.946722304091436,15.72277076437466,0.0,0.0
41.0,5.121054852653813e-05,0.0,16.143446739915216,11.415140661517913,15.023169978821047,0.0,0.0
42.0,5.360919811898438e-05,0.0,15.42113651513939,10.904390203458547,14.350984573865533,0.0,0.0
43.0,5.6141172809983374e-05,0.0,14.725641116514053,10.41260069080653,13.703753176421642,0.0,0.0
44.0,5.8822170757031074e-05,0.0,14.054475583276462,9.938014990955544,13.07916326992889,0.0,0.0
45.0,6.167083704386269e-05,0.0,13.405278771747826,9.47896352319896,12.475017562606752,0.0,0.0
46.0,6.470955082173747e-05,0.0,12.775776560981766,9.033838241194356,11.889199746452341,0.0,0.0
47.0,6.796549418828969e-05,0.0,12.163742389185087,8.601064727999033,11.319637772241823,0.0,0.0
48.0,7.147213320747195e-05,0.0,11.566952398918804,8.17907047893749,10.764262107436526,0.0,0.0
49.0,7.527131782181073e-05,0.0,10.983131245517557,7.766246582367316,10.220955305234732,0.0,0.0
50.0,7.941633954177865e-05,0.0,10.409882493074377,7.360898502208015,9.687487230736894,0.0,0.0
51.0,8.397652422443979e-05,0.0,9.844593715863894,6.961178974513831,9.161426747868932,0.0,0.0
52.0,8.904438903308967e-05,0.0,9.284299343699214,6.5649910244955265,8.640014082604921,0.0,0.0
53.0,9.474729993926721e-05,0.0,8.725470416464999,6.169839300525009,8.119965167513946,0.0,0.0
54.0,0.00010126752100931093,0.0,8.163671376768475,5.772587389891508,7.59715225133347,0.0,0.0
55.0,0.00010887914323980389,0.0,7.592958008855664,5.369032097326546,7.0660436179992825,0.0,0.0
56.0,0.0001180224666710625,0.0,7.00472364269532,4.9530875880875955,6.518629858559623,0.0,0.0
57.0,0.00012947331202455147,0.0,6.38521367633853,4.51502788986406,5.942110873605817,0.0,0.0
58.0,0.00014480427242204004,0.0,5.709187642271398,4.037005296916543,5.312997761423421,0.0,0.0
59.0,0.0001680794391538353,0.0,4.91859543809733,3.477972188191839,4.577268814650794,0.0,0.0
60.0,0.00021813641163660811,0.0,3.789898057171813,2.679862616231911,3.5268975475056954,0.0,0.0
