j,omega_j/au,Sj_11,Sj_21,Sj_12,Sj_22,Sj_13,Sj_23
1.0,1.1438565338671222e-06,0.0,1077.3967275470459,761.8345320767113,1002.6306298359817,0.0,0.0
2.0,3.460692644969249e-06,0.0,356.110008256077,251.80780168626944,331.397704057994,0.0,0.0
3.0,5.817476168681268e-06,0.0,211.84225781729455,149.79509704447787,197.14143448793402,0.0,0.0
4.0,8.21560887462647e-06,0.0,150.00559364235505,106.06997248042292,139.5959343360706,0.0,0.0
5.0,1.0656567635006715e-05,0.0,115.64579971541349,81.77392919451019,107.620543149912,0.0,0.0
6.0,1.3141909887334656e-05,0.0,93.77535662144825,66.30919057521287,87.26780253595199,0.0,0.0
7.0,1.5673279603057318e-05,0.0,78.62982844581856,55.59968489757319,73.17330042204324,0.0,0.0
8.0,1.825241381935338e-05,0.0,67.5191401295658,47.74324184550072,62.833639886969486,0.0,0.0
9.0,2.0881149799098556e-05,0.0,59.01912960870319,41.73282676604177,54.92348879383577,0.0,0.0
10.0,2.356143289291741e-05,0.0,52.3052775258928,36.98541643040311,48.675545422279676,0.0,0.0
11.0,2.629532518759011e-05,0.0,46.867162797186495,33.14008862886445,43.614809431390896,0.0,0.0
12.0,2.908501503712474e-05,0.0,42.37189785869798,29.96145630762909,39.43149403668218,0.0,0.0
13.0,3.193282758685475e-05,0.0,38.59311496984565,27.289453302289918,35.914940318824335,0.0,0.0
14.0,3.484123641736215e-05,0.0,35.3715141336838,25.011437504763627,32.91690292660474,0.0,0.0
15.0,3.7812876454328415e-05,0.0,32.59173598867202,23.04583752823163,30.330027877630947,0.0,0.0
16.0,4.0850558313149466e-05,0.0,30.168187101008325,21.33212967522752,28.074661506499627,0.0,0.0
17.0,4.3957284274019403e-05,0.0,28.03601966603148,19.824459623330263,26.090456131090914,0.0,0.0
18.0,4.713626611505737e-05,0.0,26.145203851394292,18.487450938825543,24.330853746322454,0.0,0.0
19.0,5.039094506899485e-05,0.0,24.456522589214593,17.29337296707562,22.75935875826336,0.0,0.0
20.0,5.37250142142885e-05,0.0,22.938798702895145,16.220180115090336,21.34695753487916,0.0,0.0
21.0,5.714244366594679e-05,0.0,21.566933566514017,15.250124974281833,20.070293172930118,0.0,0.0
22.0,6.064750899694926e-05,0.0,20.320493071425847,14.36875844785947,18.91034959161944,0.0,0.0
23.0,6.424482340054363e-05,0.0,19.18267062060779,13.564196477099726,17.851486490092697,0.0,0.0
24.0,6.793937420028892e-05,0.0,18.139514837722825,12.826573949187805,16.880720649739494,0.0,0.0
25.0,7.173656443277127e-05,0.0,17.17934635030773,12.14763230065496,15.98718318979429,0.0,0.0
26.0,7.564226037297553e-05,0.0,16.29231173546521,11.520404109352617,15.161704467030082,0.0,0.0
27.0,7.96628460515048e-05,0.0,15.470038386212853,10.938969048107301,14.396492892705682,0.0,0.0
28.0,8.380528603551865e-05,0.0,14.70536459775854,10.39826302689565,13.684883749542088,0.0,0.0
29.0,8.807719802364764e-05,0.0,13.99212638486596,9.893927449957932,13.021140802926956,0.0,0.0
30.0,9.248693715541778e-05,0.0,13.324987552575172,9.422189057652242,12.400298163901448,0.0,0.0
31.0,9.704369437947315e-05,0.0,12.69930307426982,8.979763320159359,11.818033148125725,0.0,0.0
32.0,0.00010175761179114901,0.0,12.111008352880178,8.563776133328492,11.270563221816408,0.0,0.0
33.0,0.00010663991857813948,0.0,11.55652876337038,8.17169985555658,10.754561821545652,0.0,0.0
