j,omega_j/au,Sj_11,Sj_21,Sj_12,Sj_22,Sj_13,Sj_23
1.0,1.1438565338671222e-06,0.0,3407.0276026605416,2409.132321531015,3170.5964421308768,0.0,0.0
2.0,3.460692644969249e-06,0.0,1126.1187236705694,796.2861859285995,1047.9715561736864,0.0,0.0
3.0,5.817476168681268e-06,0.0,669.9040393752608,473.6936889865068,623.4159541747418,0.0,0.0
4.0,8.21560887462647e-06,0.0,474.3593376755153,335.4227043895161,441.4411046012881,0.0,0.0
5.0,1.0656567635006715e-05,0.0,365.70412893235886,258.5918694759904,340.3260393781538,0.0,0.0
6.0,1.3141909887334656e-05,0.0,296.54371531832874,209.68807201984328,275.9650224114264,0.0,0.0
7.0,1.5673279603057318e-05,0.0,248.6493499170842,175.82164146399694,231.39429324541678,0.0,0.0
8.0,1.825241381935338e-05,0.0,213.51426846550424,150.97738711204306,198.69741572162843,0.0,0.0
9.0,2.0881149799098556e-05,0.0,186.63487508418424,131.97078577793087,173.6833216312552,0.0,0.0
10.0,2.356143289291741e-05,0.0,165.403810629038,116.9581561298883,153.92558988538624,0.0,0.0
11.0,2.629532518759011e-05,0.0,148.20698190901743,104.79816192705817,137.92213751738856,0.0,0.0
12.0,2.908501503712474e-05,0.0,133.991706017497,94.74644394772645,124.69333269926273,0.0,0.0
13.0,3.193282758685475e-05,0.0,122.04214530545276,86.29682853603961,113.57301343649881,0.0,0.0
14.0,3.484123641736215e-05,0.0,111.85454895127839,79.09311007001156,104.09238676673331,0.0,0.0
15.0,3.7812876454328415e-05,0.0,103.06411862308332,72.87733717539695,95.9119695897165,0.0,0.0
16.0,4.0850558313149466e-05,0.0,95.4001841172985,67.45811711578692,88.77987489879291,0.0,0.0
17.0,4.3957284274019403e-05,0.0,88.6576786699327,62.69044579176733,82.50526656695192,0.0,0.0
18.0,4.713626611505737e-05,0.0,82.67839405981245,58.46245309730694,76.94091525481961,0.0,0.0
19.0,5.039094506899485e-05,0.0,77.33831502927664,54.68644700274299,71.97141176101377,0.0,0.0
20.0,5.37250142142885e-05,0.0,72.53885068926472,51.29271322185754,67.50500692511142,0.0,0.0
21.0,5.714244366594679e-05,0.0,68.20063221572283,48.22512952094732,63.467839733786846,0.0,0.0
22.0,6.064750899694926e-05,0.0,64.25904128337629,45.43800384402168,59.799776059552386,0.0,0.0
23.0,6.424482340054363e-05,0.0,60.66093076591632,42.893755497667094,56.45135692841776,0.0,0.0
24.0,6.793937420028892e-05,0.0,57.36218253762374,40.5611882560143,53.38152579821425,0.0,0.0
25.0,7.173656443277127e-05,0.0,54.32586317987331,38.41418624830099,50.55591225010593,0.0,0.0
26.0,7.564226037297553e-05,0.0,51.52081343356075,36.430716551117776,47.94551932616435,0.0,0.0
27.0,7.96628460515048e-05,0.0,48.92055679066819,34.59205744610308,45.52570785937603,0.0,0.0
28.0,8.380528603551865e-05,0.0,46.5024459521228,32.88219487450694,43.275402163178235,0.0,0.0
29.0,8.807719802364764e-05,0.0,44.246988685114175,31.28734574632867,41.17646267100287,0.0,0.0
30.0,9.248693715541778e-05,0.0,42.1373104595302,29.795577966896634,39.213185863132516,0.0,0.0
31.0,9.704369437947315e-05,0.0,40.158722411471075,28.396504940939373,37.37190221144736,0.0,0.0
32.0,0.00010175761179114901,0.0,38.29837115642563,27.081037953107835,35.64065029386538,0.0,0.0
33.0,0.00010663991857813948,0.0,36.54495273749946,25.841183898827747,34.00891059317357,0.0,0.0
34.0,0.000111703092157149,0.0,34.88847720424971,24.66987881639725,32.46738641294761,0.0,0.0
35.0,0.00011696105031935164,0.0,33.32007342382851,23.560849867622803,31.00782223385354,0.0,0.0
36.0,0.00012242938183300683,0.0,31.831826037352663,22.508500048562574,29.622851984453114,0.0,0.0
37.0,0.00012812562512622442,0.0,30.41663820589812,21.507811136288378,28.305871311959354,0.0,0.0
38.0,0.0001340696076048379,0.0,29.068115093284344,20.55426129877239,27.050929150749486,0.0,0.0
39.0,0.00014028386215988873,0.0,27.780464013224236,19.643754488259706,25.852634798817483,0.0,0.0
