time,sigma_0_0_real,sigma_0_0_imag,sigma_0_1_real,sigma_0_1_imag,sigma_0_2_real,sigma_0_2_imag,sigma_1_0_real,sigma_1_0_imag,sigma_1_1_real,sigma_1_1_imag,sigma_1_2_real,sigma_1_2_imag,sigma_2_0_real,sigma_2_0_imag,sigma_2_1_real,sigma_2_1_imag,sigma_2_2_real,sigma_2_2_imag
0.00000000000000000000,1.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
0.00060472106349999998,0.99999434285983634929,-0.00000000000000000000,0.00000134158857370000,0.00227815682006180008,-0.00000181650813960000,0.00068344996251940005,0.00000134158857370000,-0.00227815682006180008,0.00000519002970030000,-0.00000000000000000000,0.00000155701262020000,0.00000000505522760000,-0.00000181650813960000,-0.00068344996251940005,0.00000155701262020000,-0.00000000505522760000,0.00000046710998960000,-0.00000000000000000000
0.00120944212699999995,0.99997737159058164291,0.00000000000000000000,0.00000536628337730000,0.00455624775887429959,-0.00000726592886200000,0.00136689797379630005,0.00000536628337730000,-0.00455624775887429959,0.00002075990040720000,-0.00000000000000000000,0.00000622802896340000,0.00000004044145670000,-0.00000726592886200000,-0.00136689797379630005,0.00000622802896340000,-0.00000004044145670000,0.00000186850759160000,-0.00000000000000000000
0.00181416319050000004,0.99994908664914239349,0.00000000000000000000,0.00001207386935950000,0.00683420609015890010,-0.00001634794884670000,0.00205034206859410015,0.00001207386935950000,-0.00683420609015890010,0.00004670895237160000,-0.00000000000000000000,0.00001401298080460000,0.00000013648786130000,-0.00001634794884670000,-0.00205034206859410015,0.00001401298080460000,-0.00000013648786130000,0.00000420439613420000,-0.00000000000000000000
0.00241888425399999990,0.99990948879722896248,-0.00000000000000000000,0.00002146398785620000,0.00911196551520250010,-0.00002906204536760000,0.00273378028677580005,0.00002146398785620000,-0.00911196551520250010,0.00008303608486940000,0.00000000000000000000,0.00002491175473070000,0.00000032351995650000,-0.00002906204536760000,-0.00273378028677580005,0.00002491175473070000,-0.00000032351995650000,0.00000747511440100000,-0.00000000000000000000
0.00302360531750000021,0.99985857910179964936,0.00000000000000000000,0.00003353613675880000,0.01138945974375839970,-0.00004540748664810000,0.00341721066627240005,0.00003353613675880000,-0.01138945974375839970,0.00012973975695560001,0.00000000000000000000,0.00003892419195920000,0.00000063185776730000,-0.00004540748664810000,-0.00341721066627240005,0.00003892419195920000,-0.00000063185776730000,0.00001168113665630000,0.00000000000000000000
0.00362832638100000007,0.99979635893433704830,0.00000000000000000000,0.00004828967054520000,0.01366662249572350024,-0.00006538333190170001,0.00410063124227439974,0.00004828967054520000,-0.01366662249572350024,0.00018681798753460000,-0.00000000000000000000,0.00005605008832960000,0.00000109181399980000,-0.00006538333190170001,-0.00410063124227439974,0.00005605008832960000,-0.00000109181399980000,0.00001682307261310000,-0.00000000000000000000
0.00423304744450000037,0.99972282997065098353,0.00000000000000000000,0.00006572380031450000,0.01594338750366980015,-0.00008898843138520000,0.00478404004654710020,0.00006572380031450000,-0.01594338750366980015,0.00025426835544930002,-0.00000000000000000000,0.00007628919429500000,0.00000173369221170000,-0.00008898843138520000,-0.00478404004654710020,0.00007628919429500000,-0.00000173369221170000,0.00002290166739090000,0.00000000000000000000
0.00483776850799999981,0.99963799419118315459,-0.00000000000000000000,0.00008583759382960001,0.01821968851538060055,-0.00011622142646210001,0.00546743510674629982,0.00008583759382960001,-0.01821968851538049994,0.00033208799959120002,-0.00000000000000000000,0.00009964121491140000,0.00000258778498370000,-0.00011622142646210001,-0.00546743510674629982,0.00009964121491140000,-0.00000258778498370000,0.00002991780146500000,0.00000000000000000000
0.00544248957150000011,0.99954185388175165183,0.00000000000000000000,0.00010862997556680000,0.02049545929640229913,-0.00014708074967839999,0.00615081444574040043,0.00010862997556680000,-0.02049545929640229913,0.00042027361902930002,-0.00000000000000000000,0.00012610580982520001,0.00000368437209150000,-0.00014708074967839999,-0.00615081444574040043,0.00012610580982520001,-0.00000368437209150000,0.00003787249060640000,-0.00000000000000000000
