time,sigma_0_1_real,sigma_0_1_imag,sigma_1_0_real,sigma_1_0_imag,sigma_0_0_real,sigma_0_0_imag,sigma_1_1_real,sigma_1_1_imag
0.00000000000000000000,0.00001295819742100000,0.00359993576825390002,0.00001295819742100000,-0.00359993576825390002,0.99998704011535521907,0.00000000000000000000,0.00001295988458330000,0.00000000000000000000
0.00359999999999990015,0.00005179043299470000,0.00719948018290270022,0.00005179043299470000,-0.00719948018290270022,0.99994816186231683108,0.00000000000000000000,0.00005183813760210000,0.00000000000000000000
0.00719999999999990006,0.00011636972828740000,0.01079822333722190060,0.00011636972828740000,-0.01079822333722190060,0.99988336952077161435,0.00000000000000000000,0.00011663047923090000,0.00000000000000000000
0.01080000000000000057,0.00020648602214100000,0.01439572998228600027,0.00020648602214100000,-0.01439572998228600027,0.99979267040911556919,0.00000000000000000000,0.00020732959093140000,0.00000000000000000000
0.01439999999999990073,0.00032184752501410001,0.01799153892286960155,0.00032184752501410001,-0.01799153892286960155,0.99967607507282996160,0.00000000000000000000,0.00032392492719850001,0.00000000000000000000
0.01799999999999990150,0.00046208430871720000,0.02158515190025870126,0.00046208430871720000,-0.02158515190025870126,0.99953359750173220721,0.00000000000000000000,0.00046640249830390003,0.00000000000000000000
0.02160000000000000114,0.00062675306038790005,0.02517603091191510101,0.00062675306038790005,-0.02517603091191500039,0.99936525542086662721,0.00000000000000000000,0.00063474457910910000,0.00000000000000000000
0.02520000000000000018,0.00081534071999860003,0.02876360411047660173,0.00081534071999860003,-0.02876360411047660173,0.99917107055276677130,0.00000000000000000000,0.00082892944714490005,0.00000000000000000000
0.02879999999999980145,0.00102727004352280000,0.03234727086985560163,0.00102727004352280000,-0.03234727086985560163,0.99895106885163442723,0.00000000000000000000,0.00104893114823510010,0.00000000000000000000
0.03239999999999990110,0.00126191000540020002,0.03592642834151320297,0.00126191000540020002,-0.03592642834151300174,0.99870528060196583908,0.00000000000000000000,0.00129471939786560001,0.00000000000000000000
0.03599999999999990014,0.00151857972356250000,0.03950044296551590006,0.00151857972356250000,-0.03950044296551560169,0.99843374053703981552,0.00000000000000000000,0.00156625946276110002,0.00000000000000000000
0.03959999999999980203,0.00179655021620870009,0.04306865518678770072,0.00179655021620870009,-0.04306865518678740234,0.99813648804357479882,0.00000000000000000000,0.00186351195618330006,0.00000000000000000000
0.04320000000000000229,0.00209506422288710005,0.04663035171380430083,0.00209506422288710005,-0.04663035171380450206,0.99781356744585036900,0.00000000000000000000,0.00218643255393620017,0.00000000000000000000
0.04680000000000000132,0.00241335440372340013,0.05018478721501890005,0.00241335440372340013,-0.05018478721501910128,0.99746502833125394449,0.00000000000000000000,0.00253497166851220004,0.00000000000000000000
0.05040000000000000036,0.00275063044447710009,0.05373118324778260180,0.00275063044447710009,-0.05373118324778280303,0.99709092573401836290,0.00000000000000000000,0.00290907426572610019,0.00000000000000000000
0.05399999999999990224,0.00310608454201030020,0.05726862742547970259,0.00310608454201030020,-0.05726862742548000096,0.99669132086772160850,0.00000000000000000000,0.00330867913202530011,0.00000000000000000000
0.05759999999999990128,0.00347891359688340005,0.06079599060066370048,0.00347891359688340005,-0.06079599060066410293,0.99626628216699020246,0.00000000000000000000,0.00373371783271660021,0.00000000000000000000
0.06119999999999990031,0.00386837981328500002,0.06431194740360980655,0.00386837981328500002,-0.06431194740361050044,0.99581588659374997707,0.00000000000000000000,0.00418411340594370025,0.00000000000000000000
0.06479999999999980220,0.00427372101512720013,0.06781511948074180063,0.00427372101512750024,-0.06781511948074230023,0.99534022233241881139,0.00000000000000000000,0.00465977766726830001,0.00000000000000000000
0.06840000000000000246,0.00469452982858840039,0.07130350848808850173,0.00469452982858840039,-0.07130350848808809927,0.99483938592269882673,0.00000000000000000000,0.00516061407701770038,0.00000000000000000000
0.07199999999999980027,0.00513005389378420017,0.07477589534412409922,0.00513005389378420017,-0.07477589534412409922,0.99431349027749904579,0.00000000000000000000,0.00568650972221210020,0.00000000000000000000
0.07560000000000000053,0.00557991552966040014,0.07823166496323190333,0.00557991552966040014,-0.07823166496323200048,0.99376265291318799378,0.00000000000000000000,0.00623734708650220022,0.00000000000000000000
0.07919999999999970119,0.00604378045745790002,0.08167024828050620244,0.00604378045745810038,-0.08167024828050710450,0.99318699554999001489,0.00000000000000000000,0.00681300444971110006,0.00000000000000000000
0.08279999999999990146,0.00652135917023550019,0.08509111907126400143,0.00652135917023580029,-0.08509111907126450103,0.99258664384939276903,0.00000000000000000000,0.00741335615031440010,0.00000000000000000000
0.08640000000000000457,0.00701240645879700007,0.08849379347042510280,0.00701240645879700007,-0.08849379347042560240,0.99196172710873764533,0.00000000000000000000,0.00803827289097910035,0.00000000000000000000
0.08999999999999980238,0.00751672012566840034,0.09187782932021409943,0.00751672012566840034,-0.09187782932021400228,0.99131237795850424277,0.00000000000000000000,0.00868762204119140000,0.00000000000000000000
0.09360000000000000264,0.00803413894257530049,0.09524282524200460009,0.00803413894257560060,-0.09524282524200600175,0.99063873206534958094,0.00000000000000000000,0.00936126793434780002,0.00000000000000000000
0.09719999999999980045,0.00856453991612510061,0.09858841943360530102,0.00856453991612540072,-0.09858841943360530102,0.98994092784254084094,0.00000000000000000000,0.01005907215718710064,0.00000000000000000000
0.10080000000000000071,0.00910783493904200082,0.10191428821143889982,0.00910783493904220032,-0.10191428821143920513,0.98921910617008401712,0.00000000000000000000,0.01078089382963860060,0.00000000000000000000
