time,sigma_0_1_real,sigma_0_1_imag,sigma_1_0_real,sigma_1_0_imag,sigma_0_0_real,sigma_0_0_imag,sigma_1_1_real,sigma_1_1_imag
0.00000000000000000000,0.00001295821663179295,0.00359993575143070007,0.00001295821663179279,-0.00359993575143070007,0.99998704011566164063,0.00000000000000000000,0.00001295988453081621,0.00000000000000000000
0.00359999999999999990,0.00005179051705304701,0.00719948055204759976,0.00005179051705304623,-0.00719948055204759976,0.99994816186232560185,0.00000000000000000000,0.00005183813801202410,0.00000000000000000000
0.00719999999999999980,0.00011637014508820000,0.01079822657519629962,0.00011637014508820000,-0.01079822657519629962,0.99988336951011236309,0.00000000000000000000,0.00011663049026420001,0.00000000000000000000
0.01080000000000000057,0.00020648697991700000,0.01439574466715639982,0.00020648697991700000,-0.01439574466715639982,0.99979267034300722816,0.00000000000000000000,0.00020732965751680001,0.00000000000000000000
0.01439999999999999961,0.00032184947114519998,0.01799158511738559868,0.00032184947114519998,-0.01799158511738559868,0.99967607480310283208,0.00000000000000000000,0.00032392519722000001,0.00000000000000000000
0.01799999999999999864,0.00046208740755869997,0.02158526707962820160,0.00046208740755869997,-0.02158526707962810098,0.99953359668131858129,0.00000000000000000000,0.00046640331873150001,0.00000000000000000000
0.02160000000000000114,0.00062675725973170004,0.02517628132909740038,0.00062675725973170004,-0.02517628132909750099,0.99936525333332137944,0.00000000000000000000,0.00063474666662129999,0.00000000000000000000
0.02520000000000000018,0.00081534682723389997,0.02876408401691760153,0.00081534682723389997,-0.02876408401691740030,0.99917106590047155557,0.00000000000000000000,0.00082893409940940001,0.00000000000000000000
0.02879999999999999921,0.00102727926673740005,0.03234811206247960313,0.00102727926673740005,-0.03234811206247979742,0.99895105953189600179,0.00000000000000000000,0.00104894046785299999,0.00000000000000000000
0.03239999999999999825,0.00126191748166849999,0.03592781559034199934,0.00126191748166849999,-0.03592781559034179811,0.99870526338895804219,0.00000000000000000000,0.00129473661058029997,0.00000000000000000000
