time,sigma_0_0_real,sigma_1_1_real
0.02422512580381000133,0.79420700619133510756,0.20579299380866489244
0.02423722022508000007,0.79408103317530387422,0.20591896682469612578
0.02424931464634999881,0.79394942434664772524,0.20605057565335227476
0.02426140906762000102,0.79381219868397623340,0.20618780131602376660
0.02427350348888999976,0.79366937308937546280,0.20633062691062453720
0.02428559791015999850,0.79352096219533996280,0.20647903780466003720
0.02429769233143000071,0.79336697822435486849,0.20663302177564513151
0.02430978675269999945,0.79320743090579348689,0.20679256909420651311
0.02432188117397000165,0.79304232745404257265,0.20695767254595742735
0.02433397559524000039,0.79287167261062851953,0.20712832738937148047
0.02434607001650999913,0.79269546875230334493,0.20730453124769665507
0.02435816443778000134,0.79251371606584308793,0.20748628393415691207
0.02437025885905000008,0.79232641278917692595,0.20767358721082307405
0.02438235328031999882,0.79213355551760278317,0.20786644448239721683
0.02439444770159000103,0.79193513957256078672,0.20806486042743921328
0.02440654212285999977,0.79173115942964233938,0.20826884057035766062
0.02441863654412999851,0.79152160920139746914,0.20847839079860253086
0.02443073096540000072,0.79130648316983587254,0.20869351683016412746
0.02444282538666999946,0.79108577636262233934,0.20891422363737766066
0.02445491980794000167,0.79085948516645798723,0.20914051483354201277
0.02446701422921000041,0.79062760797057674012,0.20937239202942325988
0.02447910865047999915,0.79039014583275635228,0.20960985416724364772
0.02449120307175000136,0.79014710316034530990,0.20985289683965469010
0.02450329749302000010,0.78989848839831289240,0.21010151160168710760
0.02451539191428999884,0.78964431471649987326,0.21035568528350012674
0.02452748633556000105,0.78938460068841875827,0.21061539931158124173
0.02453958075682999979,0.78911937095396289532,0.21088062904603710468
0.02455167517809999853,0.78884865685906802035,0.21115134314093197965
0.02456376959937000073,0.78857249706545962109,0.21142750293454037891
0.02457586402063999947,0.78829093812429695820,0.21170906187570304180
0.02458795844191000168,0.78800403500812898905,0.21199596499187101095
0.02460005286318000042,0.78771185159602608028,0.21228814840397391972
0.02461214728444999916,0.78741446110770219047,0.21258553889229780953
0.02462424170572000137,0.78711194648276716634,0.21288805351723283366
0.02463633612699000011,0.78680440070231827399,0.21319559929768172601
0.02464843054825999885,0.78649192705040815721,0.21350807294959184279
0.02466052496953000106,0.78617463931403597233,0.21382536068596402767
0.02467261939079999980,0.78585266192066127733,0.21414733807933872267
