time,sigma_0_0_real,sigma_1_1_real
0.11141380873924000561,0.66977119143206576002,0.33022880856793423998
0.11142590316051000088,0.66975227783460433706,0.33024772216539566294
0.11143799758177999615,0.66973325302326369712,0.33026674697673630288
0.11145009200305000530,0.66971411679516246185,0.33028588320483753815
0.11146218642432000057,0.66969486895506902258,0.33030513104493097742
0.11147428084558999584,0.66967550931551422799,0.33032449068448577201
0.11148637526686000498,0.66965603769647974453,0.33034396230352025547
0.11149846968813000025,0.66963645392555826152,0.33036354607444173848
0.11151056410939999552,0.66961675783780560955,0.33038324216219439045
0.11152265853067000467,0.66959694927571311585,0.33040305072428688415
0.11153475295193999994,0.66957702808907382241,0.33042297191092617759
0.11154684737320999521,0.66955699413504576878,0.33044300586495423122
0.11155894179448000436,0.66953684727786899611,0.33046315272213100389
0.11157103621574999963,0.66951658738908492730,0.33048341261091507270
0.11158313063701999490,0.66949621434717954127,0.33050378565282045873
0.11159522505829000405,0.66947572803767663174,0.33052427196232336826
0.11160731947955999932,0.66945512835315934552,0.33054487164684065448
0.11161941390082999459,0.66943441519292390396,0.33056558480707609604
0.11163150832210000374,0.66941358846313769870,0.33058641153686230130
0.11164360274336999901,0.66939264807675569191,0.33060735192324430809
0.11165569716463999428,0.66937159395321221833,0.33062840604678778167
0.11166779158591000343,0.66935042601869787493,0.33064957398130212507
0.11167988600717999870,0.66932914420581668402,0.33067085579418331598
0.11169198042844999397,0.66930774845353346869,0.33069225154646653131
0.11170407484972000312,0.66928623870730064027,0.33071376129269935973
0.11171616927098999839,0.66926461491872979437,0.33073538508127020563
0.11172826369225999366,0.66924287704552987144,0.33075712295447012856
0.11174035811353000280,0.66922102505161806807,0.33077897494838193193
0.11175245253479999807,0.66919905890691733230,0.33080094109308266770
0.11176454695607000722,0.66917697858729019433,0.33082302141270980567
0.11177664137734000249,0.66915478407443806930,0.33084521592556193070
0.11178873579860999776,0.66913247535575237634,0.33086752464424762366
0.11180083021988000691,0.66911005242432464168,0.33088994757567535832
0.11181292464115000218,0.66908751527889853694,0.33091248472110146306
0.11182501906241999745,0.66906486392362662929,0.33093513607637337071
0.11183711348369000660,0.66904209836816663781,0.33095790163183336219
0.11184920790496000187,0.66901921862749569314,0.33098078137250430686
0.11186130232622999714,0.66899622472174680166,0.33100377527825319834
0.11187339674750000629,0.66897311667618719611,0.33102688332381280389
0.11188549116877000156,0.66894989452129161034,0.33105010547870838966
0.11189758559003999683,0.66892655829228875319,0.33107344170771124681
0.11190968001131000598,0.66890310802945263102,0.33109689197054736898
0.11192177443258000125,0.66887954377777425474,0.33112045622222574526
0.11193386885384999652,0.66885586558694587467,0.33114413441305412533
0.11194596327512000566,0.66883207351126683360,0.33116792648873316640
0.11195805769639000093,0.66880816760956485201,0.33119183239043514799
0.11197015211765999620,0.66878414794492480056,0.33121585205507519944
0.11198224653893000535,0.66876001458498712804,0.33123998541501287196
0.11199434096020000062,0.66873576760147546150,0.33126423239852453850
0.11200643538146999589,0.66871140707035259254,0.33128859292964740746
0.11201852980274000504,0.66868693307149407179,0.33131306692850592821
0.11203062422401000031,0.66866234568879900912,0.33133765431120099088
0.11204271864527999558,0.66863764501005762408,0.33136235498994237592
0.11205481306655000473,0.66861283112684244401,0.33138716887315755599
0.11206690748782000000,0.66858790413427438004,0.33141209586572561996
0.11207900190908999527,0.66856286413114396350,0.33143713586885603650
0.11209109633036000442,0.66853771121975280600,0.33146228878024719400
0.11210319075162999969,0.66851244550566990554,0.33148755449433009446
0.11211528517289999496,0.66848706709788874303,0.33151293290211125697
0.11212737959417000411,0.66846157610863321530,0.33153842389136678470
0.11213947401543999938,0.66843597265312415523,0.33156402734687584477
0.11215156843670999465,0.66841025684971711041,0.33158974315028288959
0.11216366285798000380,0.66838442881962245590,0.33161557118037754410
0.11217575727924999907,0.66835848868691183355,0.33164151131308816645
0.11218785170051999434,0.66833243657845275987,0.33166756342154724013
0.11219994612179000348,0.66830627262371811170,0.33169372737628188830
0.11221204054305999875,0.66827999695483408793,0.33172000304516591207
0.11222413496432999402,0.66825360970631497715,0.33174639029368502285
0.11223622938560000317,0.66822711101516518717,0.33177288898483481283
0.11224832380686999844,0.66820050102063222042,0.33179949897936777958
0.11226041822813999371,0.66817377986424553171,0.33182622013575446829
0.11227251264941000286,0.66814694768953053483,0.33185305231046946517
0.11228460707067999813,0.66812000464231346974,0.33187999535768653026
0.11229670149195000728,0.66809295087011999481,0.33190704912988000519
0.11230879591322000255,0.66806578652246606520,0.33193421347753393480
0.11232089033448999782,0.66803851175062078926,0.33196148824937921074
0.11233298475576000697,0.66801112670772777591,0.33198887329227222409
0.11234507917703000224,0.66798363154842055334,0.33201636845157944666
0.11235717359829999751,0.66795602642885654188,0.33204397357114345812
0.11236926801957000666,0.66792831150676890140,0.33207168849323109860
0.11238136244084000193,0.66790048694124914963,0.33209951305875085037
0.11239345686210999720,0.66787255289271219016,0.33212744710728780984
0.11240555128338000634,0.66784450952278662239,0.33215549047721337761
0.11241764570465000161,0.66781635699439156895,0.33218364300560843105
0.11242974012591999688,0.66778809547139761360,0.33221190452860238640
0.11244183454719000603,0.66775972511883729954,0.33224027488116270046
0.11245392896846000130,0.66773124610265366385,0.33226875389734633615
0.11246602338972999657,0.66770265858959154670,0.33229734141040845330
0.11247811781100000572,0.66767396274737089712,0.33232603725262910288
0.11249021223227000099,0.66764515874423469022,0.33235484125576530978
0.11250230665353999626,0.66761624674917796618,0.33238375325082203382
0.11251440107481000541,0.66758722693176786311,0.33241277306823213689
0.11252649549608000068,0.66755809946197963711,0.33244190053802036289
0.11253858991734999595,0.66752886451025339465,0.33247113548974660535
0.11255068433862000510,0.66749952224740305429,0.33250047775259694571
0.11256277875989000037,0.66747007284448212072,0.33252992715551787928
0.11257487318115999564,0.66744051647279023509,0.33255948352720976491
0.11258696760243000479,0.66741085330382321494,0.33258914669617678506
0.11259906202370000006,0.66738108350920744005,0.33261891649079255995
0.11261115644496999533,0.66735120726060692675,0.33264879273939307325
0.11262325086624000448,0.66732122472968646854,0.33267877527031353146
0.11263534528750999975,0.66729113608801260416,0.33270886391198739584
0.11264743970877999502,0.66726094150718584519,0.33273905849281415481
0.11265953413005000416,0.66723064115852714906,0.33276935884147285094
0.11267162855131999943,0.66720023521321814020,0.33279976478678185980
0.11268372297258999470,0.66716972384220174508,0.33283027615779825492
0.11269581739386000385,0.66713910721606473064,0.33286089278393526936
0.11270791181512999912,0.66710838550511009082,0.33289161449488990918
0.11272000623639999439,0.66707755887916408977,0.33292244112083591023
0.11273210065767000354,0.66704662750767362844,0.33295337249232637156
0.11274419507893999881,0.66701559155959577740,0.33298440844040422260
0.11275628950020999408,0.66698445120336147252,0.33301554879663852748
0.11276838392148000323,0.66695320660686019387,0.33304679339313980613
0.11278047834274999850,0.66692185793729408250,0.33307814206270591750
0.11279257276401999377,0.66689040536138299853,0.33310959463861700147
0.11280466718529000292,0.66685884904496472991,0.33314115095503527009
0.11281676160655999819,0.66682718915335370546,0.33317281084664629454
0.11282885602783000734,0.66679542585100781693,0.33320457414899218307
0.11284095044910000261,0.66676355930162023444,0.33323644069837976556
0.11285304487036999788,0.66673158966812950954,0.33326841033187049046
0.11286513929164000702,0.66669951711255059923,0.33330048288744940077
0.11287723371291000229,0.66666734179609077326,0.33333265820390922674
0.11288932813417999756,0.66663506387906390493,0.33336493612093609507
0.11290142255545000671,0.66660268352084506294,0.33339731647915493706
0.11291351697672000198,0.66657020087993446023,0.33342979912006553977
0.11292561139798999725,0.66653761611375372809,0.33346238388624627191
0.11293770581926000640,0.66650492937884542322,0.33349507062115457678
0.11294980024053000167,0.66647214083071915081,0.33352785916928084919
0.11296189466179999694,0.66643925062378694957,0.33356074937621305043
0.11297398908307000609,0.66640625891159177563,0.33359374108840822437
0.11298608350434000136,0.66637316584637784622,0.33362683415362215378
0.11299817792560999663,0.66633997157961277757,0.33366002842038722243
0.11301027234688000578,0.66630667626151485194,0.33369332373848514806
0.11302236676815000105,0.66627328004112296167,0.33372671995887703833
0.11303446118941999632,0.66623978306660558424,0.33376021693339441576
0.11304655561069000547,0.66620618548484467070,0.33379381451515532930
0.11305865003196000074,0.66617248744171986274,0.33382751255828013726
0.11307074445322999601,0.66613868908193962781,0.33386131091806037219
0.11308283887450000516,0.66610479054903015683,0.33389520945096984317
0.11309493329577000043,0.66607079198547336496,0.33392920801452663504
0.11310702771703999570,0.66603669353247207940,0.33396330646752792060
0.11311912213831000484,0.66600249533035693617,0.33399750466964306383
0.11313121655958000011,0.66596819751801084042,0.33403180248198915958
0.11314331098084999538,0.66593380023339043827,0.33406619976660956173
0.11315540540212000453,0.66589930361324189967,0.33410069638675810033
0.11316749982338999980,0.66586470779315731772,0.33413529220684268228
0.11317959424465999507,0.66583001290760246427,0.33416998709239753573
0.11319168866593000422,0.66579521908985228595,0.33420478091014771405
0.11320378308719999949,0.66576032647216032423,0.33423967352783967577
0.11321587750846999476,0.66572533518569676492,0.33427466481430323508
0.11322797192974000391,0.66569024536039467232,0.33430975463960532768
0.11324006635100999918,0.66565505712519601467,0.33434494287480398533
0.11325216077227999445,0.66561977060802957062,0.33438022939197042938
0.11326425519355000360,0.66558438593567559316,0.33441561406432440684
0.11327634961481999887,0.66554890323394455542,0.33445109676605544458
0.11328844403608999414,0.66551332262759910208,0.33448667737240089792
0.11330053845736000329,0.66547764424038924336,0.33452235575961075664
0.11331263287862999856,0.66544186819498785113,0.33455813180501214887
0.11332472729989999383,0.66540599461321392472,0.33459400538678607528
0.11333682172117000297,0.66537002361581998322,0.33462997638418001678
0.11334891614243999824,0.66533395532269479222,0.33466604467730520778
0.11336101056371000739,0.66529778985263288149,0.33470221014736711851
0.11337310498498000266,0.66526152732371435228,0.33473847267628564772
0.11338519940624999793,0.66522516785304253162,0.33477483214695746838
0.11339729382752000708,0.66518871155686565277,0.33481128844313434723
0.11340938824879000235,0.66515215855055875860,0.33484784144944124140
0.11342148267005999762,0.66511550894872562001,0.33488449105127437999
0.11343357709133000677,0.66507876286517342290,0.33492123713482657710
0.11344567151260000204,0.66504192041285714598,0.33495807958714285402
0.11345776593386999731,0.66500498170419608535,0.33499501829580391465
0.11346986035514000646,0.66496794685073101761,0.33503205314926898239
0.11348195477641000173,0.66493081596337744177,0.33506918403662255823
0.11349404919767999700,0.66489358915233698344,0.33510641084766301656
0.11350614361895000615,0.66485626652721496743,0.33514373347278503257
0.11351823804022000142,0.66481884819703296330,0.33518115180296703670
0.11353033246148999669,0.66478133427027052971,0.33521866572972947029
0.11354242688276000584,0.66474372485480925921,0.33525627514519074079
0.11355452130403000111,0.66470602005805734525,0.33529397994194265475
0.11356661572529999638,0.66466821998686287376,0.33533178001313712624
